	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-02-0047-01A	4.419586074	4.700439718	5.989615619	2.387397926	2.559444911	9.764311372	3.197039858	6.131740025	9.125653047	11.841851
TCGA-02-0055-01A	5.480905923	5.781359714	6.077211812	3.190358125	3.156720983	10.42710694	5.04566067	8.180076278	8.067297554	14.89689184
TCGA-02-2483-01A	4.817237223	4.087462841	5.768211557	2.769203899	4.177137615	10.33601979	3.312628891	7.462141066	9.924146465	12.34615717
TCGA-02-2485-01A	5.538764501	5.044394119	4.930776847	1.975919365	3.651408211	8.883693869	3.235106969	6.284270363	9.884446858	10.46425727
TCGA-02-2486-01A	6.156867213	7.011227255	4.49140789	1.809593275	3.842148016	10.50815683	2.702790976	6.31005566	7.227277452	12.75934883
TCGA-04-1331-01A	6.067940184	5.700439718	3.504232688	2.630805244	6.041921692	8.560646669	5.255601234	6.09190595	8.697671177	13.46723784
TCGA-04-1332-01A	5.445118778	4.523561956	3.539456465	2.407320754	4.483795918	8.120753408	5.515402533	6.146691997	9.452335771	13.92302231
TCGA-04-1338-01A	6.643333051	6.845490051	3.911255796	2.683641627	4.785026427	8.730638025	4.190105067	5.533200372	7.106818142	13.31936712
TCGA-04-1341-01A	6.143372933	6.672425342	4.343650616	2.167950267	5.759072962	8.316579844	3.388684416	6.539789294	7.697759643	13.55276001
TCGA-04-1343-01A	7.374193757	6.727920455	5.088223428	3.005324985	7.732312721	9.392328588	5.455763875	7.025128813	8.735569792	14.61783549
TCGA-04-1347-01A	4.634623802	5	3.506462286	1.474910203	5.178323913	6.666633205	3.523929588	4.670861997	7.125278169	11.89646073
TCGA-04-1350-01A	4.643517518	5.285402219	2.753947498	0.924039678	4.149836722	7.13668452	2.35929449	5.03896691	6.880747528	9.809389995
TCGA-04-1356-01A	6.542884485	6.06608919	5.032886014	3.060384035	4.914109528	8.629049691	5.799234485	7.011373306	8.229699702	13.24454476
TCGA-04-1357-01A	8.289452038	9.027905997	6.649638525	4.205789868	7.528653605	10.07069125	7.504903701	6.228749828	7.686264553	12.10055156
TCGA-04-1361-01A	6.974707415	7.276124405	5.399467355	4.012554156	5.673039745	9.099628171	4.673986332	6.067742203	9.083395851	13.05607361
TCGA-04-1362-01A	6.037933477	4.392317423	4.679907999	3.193931052	4.465770595	8.920458219	4.235133188	6.887902978	8.453156526	10.96044343
TCGA-04-1364-01A	3.792378084	5.754887502	2.564937121	1.525571393	5.007648402	6.739777346	2.122768888	5.65087976	8.217342862	10.8252142
TCGA-04-1365-01A	8.091209032	7.906890596	6.670613061	5.022957926	6.928659033	10.44263419	6.834400065	7.273381664	8.746360475	12.07643224
TCGA-04-1514-01A	5.052442933	5.087462841	3.948334603	1.601722649	4.808383194	7.115416178	3.263041843	6.210482163	9.460295012	13.4260547
TCGA-04-1519-01A	4.564936169	3	3.347172501	1.240601563	4.985113541	7.27081934	3.162879987	5.570619946	7.592674241	10.65619202
TCGA-04-1530-01A	6.880289237	6	4.933577637	3.093060197	5.369896684	8.895431478	5.170430388	5.795628288	7.458438095	13.81882663
TCGA-04-1536-01A	4.920806724	4.459431619	2.967186079	1.625878408	3.358006875	8.564763256	3.769353006	5.902325995	7.216936557	11.4323741
TCGA-04-1542-01A	3.170769387	1	1.878172132	0.5	4.046239673	5.572447723	2.836945674	4.706652932	7.234953319	10.52418177
TCGA-04-1648-01A	5.904580482	4.906890596	5.29056721	3.969785922	6.903760177	8.816047308	6.026543887	7.058108069	8.199410924	10.37716862
TCGA-04-1651-01A	6.771299476	5.129283017	4.294133517	3.641690483	6.388143032	8.470153495	3.892678582	7.430934859	8.241322851	11.34022857
TCGA-04-1655-01A	3.491770902	6.108524457	3.246613762	1.53217348	3.879883465	7.103749704	2.705141009	5.268590325	7.774435317	10.98095256
TCGA-05-4244-01A	7.450533973	7.055282436	6.50024282	2.913392039	6.87930091	10.76183939	8.359947797	8.676573766	9.50216769	12.91699398
TCGA-05-4249-01A	7.526792232	6.930737338	4.894981725	3.118115543	9.186275516	10.89492796	10.16395218	8.951822198	9.903570375	13.24897521
TCGA-05-4250-01A	7.930474753	8.933690655	6.842974437	3.690978877	6.881018965	10.65260095	6.541983588	8.031567573	9.450484536	14.76064179
TCGA-05-4382-01A	8.525205279	7.276124405	6.128143804	4.631654119	9.303286167	12.12408329	7.251424504	8.779476353	10.28964806	15.56027904
TCGA-05-4384-01A	6.184161446	4.906890596	5.186004439	2.65178989	6.086619301	10.30291691	7.009643972	9.145093061	9.951966861	11.76566722
TCGA-05-4389-01A	8.623505893	9.695228292	7.002592499	4.370103819	7.873865245	11.27416329	9.853061328	8.581120282	9.035365121	12.5039891
TCGA-05-4390-01A	6.173105375	7.108524457	3.370140439	2.482271914	7.288608003	8.965753303	4.472863415	7.85577838	8.2206687	13.12647818
TCGA-05-4395-01A	7.21556827	7.118941073	7.824108779	5.31336533	6.438478675	11.0915509	7.793822079	8.86401259	9.205524384	12.91267328
TCGA-05-4396-01A	5.802340691	4.247927513	4.150694199	2.686481637	5.628015284	8.837457472	5.403974571	8.01733875	8.743964001	11.30450066
TCGA-05-4397-01A	7.426494427	7.339850003	5.960561141	4.41366855	7.213305436	11.31953704	7.998588676	8.64362137	9.316117493	12.82544447
TCGA-05-4398-01A	8.646811661	7.95419631	6.585913862	4.306665962	9.383102142	12.05806301	9.62719167	8.949572065	10.00255038	14.72751947
TCGA-05-4402-01A	8.067621202	6.845490051	5.624627925	3.264123651	9.471410152	11.3789287	8.835744144	8.921505834	10.06069465	14.5556009
TCGA-05-4403-01A	7.687355999	7.022367813	5.896154632	3.448062732	8.125461395	11.34518949	8.373972396	9.140353063	10.25720043	13.94307476
TCGA-05-4405-01A	6.084987359	5.977279924	4.631881001	2.147527498	7.940516717	9.876226068	6.692767198	7.075027076	9.174178896	13.85205976
TCGA-05-4410-01A	7.349821917	7.64385619	5.504177309	3.358543478	8.906193344	9.599194457	5.744304608	7.520459299	8.126723298	11.90997142
TCGA-05-4415-01A	6.250339014	7.033423002	7.522233362	3.867789076	5.253203609	9.322138878	3.771438442	8.480739032	8.473862472	10.93832711
TCGA-05-4417-01A	7.772577728	7.375039431	5.883465315	3.058491545	8.644725202	10.30507221	7.865910249	8.189888352	9.783657308	14.47302879
TCGA-05-4418-01A	8.351023328	8.577428828	6.972283859	4.242203475	9.171928925	11.40606974	6.538547442	9.194155216	9.032735668	13.7700123
TCGA-05-4420-01A	6.6138542	8	5.302833019	3.159492825	7.24042758	10.09153733	6.988270618	10.22876391	9.836343207	14.1525056
TCGA-05-4422-01A	8.816512014	9.776433032	7.663058605	5.07042674	9.670672839	11.4087479	8.91500583	8.347968329	9.424840334	11.50584065
TCGA-05-4424-01A	7.33508879	7.434628228	5.023579405	2.482271914	6.877530329	10.55494336	6.392927402	7.930158947	10.13145916	13.18710633
TCGA-05-4425-01A	7.340409437	6.375039431	5.183897509	2.052758096	5.562140067	10.83920382	9.366802805	6.932951587	8.818243376	12.59177082
TCGA-05-4426-01A	7.549566699	6.584962501	5.309887519	3.019470867	7.08864527	10.14071149	7.475262677	8.999369422	9.470467565	13.25925195
TCGA-05-4427-01A	6.777538301	6.882643049	5.386829692	3.140151215	6.41020253	10.069246	6.738677893	7.338250137	8.693807905	12.68694746
TCGA-05-4430-01A	7.898584998	7.636624621	6.324401301	4.162639851	8.270991009	11.24808181	9.742545794	9.244048564	10.88337442	15.34444785
TCGA-05-4432-01A	8.286456313	8.62935662	6.466201502	4.391355193	9.646906252	10.86010211	7.09183277	9.540995675	10.14620243	14.09649667
TCGA-05-4433-01A	7.116291891	6.700439718	5.295975773	3.179588943	7.238354199	9.969502654	6.8462661	8.215807256	8.87299223	10.65286724
TCGA-05-4434-01A	9.270378013	8.599912842	6.962659695	4.709174809	10.27400236	12.54709301	9.480518246	9.784057408	10.34416461	14.73370614
TCGA-05-5420-01A	8.097315805	8.17990909	6.638586925	3.290928113	8.257301659	11.10689667	8.195695283	7.950996891	7.791025885	12.20257254
TCGA-05-5423-01A	7.266858387	7.076815597	5.106784772	2.74645417	7.746161303	10.24816309	9.615355336	7.914462291	8.3151667	11.7235026
TCGA-05-5425-01A	7.811608891	9.501837185	6.725700925	3.986937827	7.662181093	11.22936226	7.804260068	8.667531208	9.070339588	12.93239548
TCGA-05-5428-01A	5.40755129	6.321928095	4.2362082	1.613361324	4.835249905	9.262492786	6.80668764	7.324895909	7.809126226	11.86117516
TCGA-05-5429-01A	5.254007692	5.727920455	3.397278543	0.936481637	5.963086203	7.883662952	5.747387569	7.031566135	7.870719445	13.03041152
TCGA-05-5715-01A	5.108072974	5.247927513	3.584756988	2.165592889	7.105978876	9.464382093	6.410254347	6.884113018	8.849403492	12.70468374
TCGA-06-0125-01A	3.875424235	3	4.712016371	1.573120313	2.932204673	9.008609167	3.291942533	7.054282223	9.463516996	12.84934295
TCGA-06-0125-02A	4.519506238	5.459431619	5.034879217	1.982271914	2.845466182	9.286420089	3.743203912	6.57866103	8.739795562	13.31840116
TCGA-06-0129-01A	5.368748935	4.321928095	5.812026432	2.28693861	3.850850559	11.36152202	3.049115423	6.437346686	8.380095846	10.3458892
TCGA-06-0130-01A	7.356145881	8.523561956	6.15157079	3.629185836	4.436892921	11.68278569	5.3141843	7.205521175	8.882621053	14.57985873
TCGA-06-0132-01A	5.566048094	5.64385619	4.985096167	2.091520928	3.937729675	10.43479435	4.565296855	7.020234786	9.052491153	12.6117343
TCGA-06-0138-01A	5.377962073	5.129283017	6.059960276	1.561481637	2.960987256	10.04319478	3.390600356	6.882992699	9.22764276	11.83528284
TCGA-06-0139-01A	4.97661704	5.906890596	4.765415209	1.726722649	2.640454557	10.2526748	3.698264988	7.215461559	7.382557975	12.32223904
TCGA-06-0141-01A	6.376860241	5.95419631	5.934082958	3.9783155	4.697887688	11.37179106	5.798720207	8.953547256	9.129864655	13.29785188
TCGA-06-0152-02A	7.656446803	6.06608919	6.376176326	3.139809344	5.064691406	10.46939019	7.177179589	6.897852523	9.718884882	12.74616389
TCGA-06-0156-01A	5.855101078	5.807354922	7.026919929	1.963928125	3.421527971	10.108492	4.569582425	7.917948981	8.72167926	11.81938085
TCGA-06-0157-01A	5.729867003	4.906890596	5.479728147	1.520927268	4.412356969	9.402386177	4.258173505	7.399135062	9.875137862	11.37149245
TCGA-06-0158-01A	5.543361554	4.169925001	5.340409759	2.274959043	4.003790622	10.18421945	3.250513392	7.797564865	9.711541306	12.60833483
TCGA-06-0168-01A	3.705936685	3.459431619	3.001921934	1.719360938	2.395927268	8.093877128	2.628615965	5.230385117	7.315440054	10.40280866
TCGA-06-0171-02A	7.325386418	7.199672345	5.779812893	3.951369542	5.647939927	11.9930201	5.465690085	10.07296401	9.902994553	14.05114078
TCGA-06-0174-01A	3.80964415	2.807354922	5.392597309	1.847156914	3.322108342	8.946459417	2.562144177	6.690171602	9.398949541	11.58975897
TCGA-06-0178-01A	4.669184801	5.357552005	6.699027831	1.46428069	3.055175023	9.461461911	3.03612431	6.66544744	7.702630459	10.55768554
TCGA-06-0184-01A	5.164933749	4.321928095	4.807781499	2.353628621	4.073662682	10.82615854	3.25825734	7.50257891	9.448382615	12.10345581
TCGA-06-0187-01A	3.878730316	4	4.582867848	2.091520928	2.124211285	9.271658041	3.363107567	7.304907841	8.974918939	11.90583194
TCGA-06-0190-01A	5.965499588	5.700439718	5.583349088	2.106126759	3.549798929	10.23196821	4.219462944	8.03700715	9.183277586	14.12413774
TCGA-06-0190-02A	6.131184314	6.614709844	5.55350041	3.038471254	4.54874134	11.09117927	5.16881647	7.719796687	9.534678607	15.1554268
TCGA-06-0210-01A	5.100982844	3.321928095	5.558026581	1.971642401	3.700407675	10.10138857	3.733293477	7.914035783	8.040625621	11.83878673
TCGA-06-0210-02A	5.744003259	5.857980995	5.851049112	2.117022228	3.327880863	11.06404621	3.459870838	6.477014521	9.39439886	12.69596695
TCGA-06-0211-01A	5.09081433	3.459431619	4.771750076	2.10595558	3.109147467	10.10179227	5.879732424	7.651434686	9.477913216	12.70646593
TCGA-06-0211-01B	4.289420761	3.700439718	4.671431873	2.363713201	2.907478825	9.368327029	3.366218783	6.788324919	9.555782639	11.96648527
TCGA-06-0211-02A	5.693439593	5.672425342	5.590114964	2.447561766	3.88525872	10.35743847	5.180727678	7.729849575	9.348341611	13.38552953
TCGA-06-0219-01A	4.986482885	5.129283017	5.374324429	1.646709642	3.412055921	9.522792879	2.787703027	6.476757634	8.337225874	11.25759494
TCGA-06-0221-02A	4.820199036	3.169925001	5.395247048	2.238736635	4.321065322	8.903582043	3.600624914	7.263941785	9.083211681	11.97093757
TCGA-06-0238-01A	5.67172634	5.523561956	5.707276064	1.832722262	4.255162168	10.18227425	4.739708281	6.541218329	8.621098558	11.23384042
TCGA-06-0644-01A	6.262692723	5.832890014	4.765715996	1.641160377	4.218333202	10.46716881	5.952195095	6.358167255	9.156127532	14.68822183
TCGA-06-0645-01A	5.490637945	4.700439718	5.623276081	2.005901142	3.481769567	10.98364988	3.961644482	7.608961099	9.703545178	13.09362415
TCGA-06-0646-01A	4.9395321	3.807354922	5.988699775	2.209358512	3.151431978	9.974551421	2.603307903	7.457454092	9.192971313	12.07584745
TCGA-06-0649-01B	5.801336504	5.426264755	6.722316821	2.536027154	4.173621022	10.09502909	3.859146238	7.278526951	8.580055912	11.92241192
TCGA-06-0675-11A	5.205157783	3	4.488968761	2.326662534	3.946306522	8.276065617	3.629194429	5.784120832	8.783339714	10.7072141
TCGA-06-0678-11A	4.871415975	2	4.598706394	2.218655117	4.439048016	8.228155849	2.592521387	6.087612986	9.055345739	10.3011563
TCGA-06-0680-11A	5.221165564	3.169925001	5.357415081	2.525533182	4.238413111	8.310460653	3.172802922	6.40096258	8.938478841	10.37567756
TCGA-06-0681-11A	5.380385196	3.459431619	4.545725352	2.022876875	5.004532048	8.54473703	2.307581675	6.445576331	8.915043703	10.25491885
TCGA-06-0686-01A	3.848017127	2.321928095	4.538931026	0.646240625	3.432364181	8.65470983	4.098012349	5.703977309	8.437868982	10.95920684
TCGA-06-0743-01A	5.427550102	5.672425342	5.62037485	2.892315538	3.357681305	9.359034614	3.824469391	7.102548995	9.175569083	11.22071873
TCGA-06-0744-01A	4.623091999	5.129283017	5.147797196	1.832722262	3.355599137	9.144548041	2.952662565	6.319351631	9.541480982	11.37257621
TCGA-06-0745-01A	5.095485871	4.459431619	5.352947026	2.230441067	3.632364738	9.997458673	3.755014372	7.253007718	9.654163133	12.14691825
TCGA-06-0747-01A	3.754894561	6.700439718	4.055143958	1.350919365	2.56276851	8.760998537	1.825214119	6.727496638	8.882710495	11.19861292
TCGA-06-0749-01A	5.295017691	4.169925001	4.014658953	1.299039678	3.871683707	10.17830178	3.178528172	6.241984264	8.720990378	10.40716146
TCGA-06-0750-01A	5.369103867	5	5.271436222	2.770682079	3.899188729	9.714233402	4.719103845	7.906715436	9.455865553	13.30037535
TCGA-06-0878-01A	4.023718503	3.169925001	3.420260551	1.136594643	2.613055808	8.906451237	2.586349978	6.045389723	8.053999286	11.50167064
TCGA-06-0882-01A	5.570200837	4.523561956	4.553891869	1.891160377	4.146031143	10.36416742	3.002242256	7.463992363	9.5052322	12.04591943
TCGA-06-1804-01A	5.007539189	3.700439718	4.903213045	2.682794311	4.555574767	9.529531643	3.06355951	8.601361816	9.348777461	10.74814102
TCGA-06-2557-01A	7.20707232	6.409390936	5.810554068	3.096287819	5.539847076	11.28046152	4.609713297	7.469023851	8.821121386	11.12689308
TCGA-06-2558-01A	5.130401543	3.906890596	5.946933941	2.210518239	4.726084241	9.616954695	3.272730648	7.084418324	10.1700044	11.9434406
TCGA-06-2559-01A	4.582822098	3.321928095	4.895857774	1.313721876	3.213292873	9.525419234	3.21307491	6.212294013	9.258659627	11.81085411
TCGA-06-2561-01A	5.479361205	5.584962501	5.122337863	1.719829955	3.202440633	10.24434979	4.020076353	6.841073817	8.990687196	11.21975866
TCGA-06-2562-01A	4.508741716	3	4.736703608	1.479111252	3.282507774	9.902885372	2.366381926	6.697902022	9.67762475	12.79834605
TCGA-06-2563-01A	5.085111134	4.754887502	4.364599538	2.378876488	3.534805494	9.215972875	3.410895184	6.596457436	9.704549127	11.78697942
TCGA-06-2564-01A	5.240748461	4.321928095	5.046117953	1.159515551	3.766185691	10.81207229	2.97475419	7.224206551	9.907201122	12.54255423
TCGA-06-2565-01A	5.437054722	4.584962501	4.850454237	1.976722649	2.915592889	9.749206169	4.813568311	6.639936251	10.20580975	11.41546196
TCGA-06-2567-01A	5.710930751	5.285402219	5.789034392	4.350817818	4.801903138	10.76577729	3.512927801	8.853773906	9.063236297	11.53721214
TCGA-06-2569-01A	3.719586352	2.321928095	4.876187394	2.123230242	2.753876488	7.305760121	4.044665799	6.50978585	9.285968145	14.18601587
TCGA-06-2570-01A	4.326097722	2.321928095	5.583703681	2.295277227	3.693957784	10.24572163	2.985419191	7.425857915	9.774479076	11.44935308
TCGA-06-5408-01A	4.210623	2.584962501	5.136971528	1.853715342	3.49046236	9.006329385	3.175120033	6.99647425	9.013323166	11.75663985
TCGA-06-5410-01A	5.853856143	3.807354922	5.206867937	3.669877149	4.560959101	12.12576907	6.556041575	8.732194926	9.61759566	13.39975068
TCGA-06-5411-01A	5.681546763	5.247927513	6.851281553	2.23379559	4.401056903	10.14265456	4.026521832	7.34687334	9.878584187	12.39149342
TCGA-06-5412-01A	5.531317033	4.906890596	5.174321231	3.237821179	3.932853936	10.76460531	5.060737964	7.48373989	10.36290597	12.73514209
TCGA-06-5413-01A	6.03866513	6.108524457	6.097958361	2.429247072	6.208790619	10.69245095	4.72955517	8.120125238	9.790786215	13.74884006
TCGA-06-5414-01A	5.15430602	3.807354922	4.074452932	2.02678989	2.758783383	10.20426078	3.961651744	7.308488145	9.29427063	12.47802592
TCGA-06-5416-01A	4.411924818	5.044394119	5.352887776	1.238361324	2.46810423	8.22856471	4.99696733	5.126242298	8.164930671	10.89125319
TCGA-06-5417-01A	1.748564428	1.584962501	3.155284857	0.600919365	2.110521315	7.240845102	2.069905592	4.233282735	7.445860126	8.467929553
TCGA-06-5418-01A	4.190013351	3.459431619	4.200842824	0.600919365	2.601158214	9.873338594	3.22149256	7.33654872	8.300869038	11.79074721
TCGA-06-5856-01A	4.408385238	3.459431619	5.880151834	2.747115958	3.69279682	10.27650619	3.304268241	6.979144005	9.668874596	12.09453301
TCGA-06-5858-01A	4.46371705	2.321928095	3.626667266	1.50960195	3.688610833	10.3596145	2.757252536	6.540122515	9.643158602	12.35751332
TCGA-06-5859-01A	5.803477895	5.491853096	5.725607008	1.476722649	3.046824753	10.55307749	4.030257563	6.888908988	8.792537872	10.23215167
TCGA-06-AABW-11A	3.988531014	1.584962501	4.208669801	1.078669578	3.877607385	7.957318937	1.524957853	5.196203997	7.957314659	9.396696509
TCGA-08-0386-01A	3.432600548	0	3.327759373	1.800966559	3.51911546	8.936970158	2.475746472	7.198984111	9.65431952	11.53768323
TCGA-09-0364-01A	3.513471251	3.906890596	3.07194849	1.229111252	4.32953655	6.326531366	3.287403987	5.588162616	8.387195731	11.4726958
TCGA-09-0366-01A	7.032848017	7.339850003	5.278022031	4.554633194	6.233793643	11.63755704	5.770245417	9.103763174	8.485299844	11.83964128
TCGA-09-0367-01A	6.245529312	6.189824559	4.157547013	3.596875596	4.213691476	8.635070899	7.5019334	7.273521834	7.438499349	10.68218329
TCGA-09-0369-01A	5.702369927	6.988684687	3.765932007	2.109660517	4.921561729	9.287164444	4.28015327	6.538254262	10.27143533	14.43513548
TCGA-09-1659-01B	6.754794834	6.442943496	5.222470132	4.131509828	4.678578541	9.225919333	6.91422846	7.254946305	8.745573421	13.35229055
TCGA-09-1661-01B	4.392618064	7.417852515	3.618652088	1.344360938	2.40199257	7.839038072	3.730131094	5.044441111	7.875239305	11.91754208
TCGA-09-1662-01A	7.100410958	6.569855608	6.057820881	5.089950863	5.6332375	11.12523358	8.009780714	7.980496102	8.977527446	13.18245999
TCGA-09-1665-01B	7.03158524	6.64385619	4.990387125	3.030581482	5.758486299	9.19330292	4.91011058	6.407954441	8.209958997	12.33266065
TCGA-09-1666-01A	6.984926755	6.754887502	4.930404526	3.301769843	5.276214731	9.813301017	5.908093532	6.318634155	8.09552884	11.44600582
TCGA-09-1667-01C	7.908187194	6.727920455	6.265077181	4.809874026	5.756084886	9.9407405	6.548585382	6.613894592	8.30479326	12.95616416
TCGA-09-1668-01B	7.855083129	7.022367813	5.922664183	4.958942434	5.546127173	10.37489738	7.748037863	7.085617727	8.834795674	13.85262557
TCGA-09-1669-01A	7.430379108	9.060695932	5.413239883	3.649677249	8.021182363	9.30839621	5.460042332	5.571755369	8.710158475	12.82241133
TCGA-09-1670-01A	6.511863698	4.700439718	4.129848895	3.196071063	5.264795988	10.12979459	5.759822879	7.159030425	7.882667379	11.57596874
TCGA-09-1673-01A	5.578405261	4.64385619	4.891470383	2.749391532	5.494716172	9.52264304	4.222011739	6.232782239	9.27564498	9.715205459
TCGA-09-2044-01B	7.285271641	7.672425342	5.083965417	3.157129447	5.905683708	10.41734284	5.466896383	6.688128411	8.928607765	12.52603898
TCGA-09-2045-01A	5.013122678	4.523561956	3.302084473	2.284151601	3.920493848	8.297216924	2.546081324	6.260095986	7.104768343	11.31511359
TCGA-09-2048-01A	5.471821817	5.129283017	4.141365818	0.74715999	4.303914736	7.961920662	4.30643025	5.957002925	8.226310162	12.22031708
TCGA-09-2051-01A	7.221178129	6.189824559	5.755794062	5.154309074	6.358507864	10.41943366	4.865506848	7.851670888	8.703343595	12.88868771
TCGA-09-2053-01C	7.355178468	7.483815777	5.524212357	3.64399832	7.32683585	9.273866782	5.725975777	6.137020251	7.999835318	12.69231407
TCGA-09-2054-01A	5.475191966	4.754887502	3.624581906	2.027093232	6.576472	8.003381831	3.919998232	5.952530494	8.581020429	12.87118369
TCGA-09-2056-01B	6.704054888	6.832890014	5.06302513	3.120606853	4.929821913	9.66743905	7.741086571	7.474038898	7.887865218	11.94438659
TCGA-10-0927-01A	3.875595597	4.807354922	3.156644182	1.057428952	3.332881486	6.113157746	3.353876258	4.163218289	7.107710628	11.62011849
TCGA-10-0928-01A	4.40921907	1.584962501	2.981676689	2.167950267	5.132014391	7.124645806	5.268909686	5.317042378	8.27004731	10.66194086
TCGA-10-0931-01A	6.658834445	6.894817763	5.172232915	3.921811645	6.068603095	9.43599923	4.24590985	7.530353201	8.167931797	12.16510848
TCGA-10-0933-01A	4.641220897	10.4429435	3.724305917	1.785675277	4.130071208	7.18294979	3.010034186	5.384342284	8.479035012	12.13168971
TCGA-10-0936-01A	7.202744544	5.857980995	3.870448058	2.421199668	6.307041343	8.000878384	4.733836725	6.856704542	7.575352794	10.08836927
TCGA-10-0937-01A	5.810964784	6.044394119	3.855166476	1.88460195	3.787475136	7.908164385	3.424070191	4.912465794	6.244128686	10.96417876
TCGA-10-0938-01A	3.811682559	6.285402219	3.132186877	1.15178989	3.907340503	5.270275003	1.278737557	4.769883474	6.437813292	10.05253207
TCGA-12-0616-01A	5.307959624	5.584962501	5.822266136	1.63460195	2.521888865	8.727012028	3.549115423	5.413998113	7.983072339	10.4160123
TCGA-12-0618-01A	4.454091047	3.169925001	6.618474043	1.453669578	3.665974058	9.090093327	4.106636858	6.641700914	9.272585337	11.07225179
TCGA-12-0619-01A	5.434447333	4.95419631	4.707350687	3.357882462	4.048535014	10.49346122	4.175466809	8.103589865	9.067666908	12.04707334
TCGA-12-0821-01A	4.439439726	4.247927513	5.1261773	1.641963661	3.025719384	8.838617107	4.561339045	6.072922608	9.669665569	11.36947333
TCGA-12-1597-01B	4.194714761	3.459431619	4.952292515	1.198120313	3.106755439	9.318725414	2.478779147	5.678587243	8.597725976	10.86298369
TCGA-12-3650-01A	4.471711842	5	4.662683346	0.988361324	2.270700479	8.822711441	2.591189255	5.556145496	8.429601195	10.46052481
TCGA-12-3652-01A	4.343281337	4.584962501	4.068267553	0.665241012	1.868910589	7.641651363	2.928889422	4.555003641	8.210171139	10.63514401
TCGA-12-3653-01A	4.451353721	3.169925001	3.390944762	1.545790277	2.008092846	8.502569682	2.347385022	5.696334126	8.107252479	9.744469219
TCGA-12-5295-01A	5.25307605	5.882643049	4.851904621	1.16748125	2.676525744	9.91246429	4.481093939	5.160619588	8.478152003	10.64202253
TCGA-12-5299-01A	3.958425436	1.584962501	4.462863707	1.504521702	2.282090586	9.371704253	2.083970956	6.634032587	8.606114985	12.75891316
TCGA-13-0714-01A	4.877469491	4.857980995	3.356482827	2.597070193	6.206018206	6.965704359	4.518294749	5.035645593	6.772800289	12.33080827
TCGA-13-0720-01A	5.23165862	2.807354922	3.777938253	2.426748933	4.448116704	7.744978841	3.97737179	6.228787932	6.684177656	10.26476635
TCGA-13-0724-01A	5.67239557	6.614709844	4.147568803	1.643400616	5.296419004	7.51172019	4.959474233	6.257420084	7.002480258	12.31520618
TCGA-13-0725-01A	6.17205783	6.022367813	3.77382635	1.935224929	4.980181638	9.20430563	4.440161468	6.303870587	8.226278045	12.91541365
TCGA-13-0726-01A	6.253201215	5.087462841	5.134364403	5.116635631	4.485438351	8.452578322	4.497959593	5.599687682	7.558736232	13.01778273
TCGA-13-0727-01A	5.122444185	3.807354922	3.097982697	1.750878408	4.709963925	8.866035655	4.19813677	5.75333186	7.272068201	12.28852455
TCGA-13-0730-01A	5.626914511	8.539158811	5.138494242	1.83928069	4.399562722	8.298349582	6.875331395	5.32506735	8.127553238	12.31566488
TCGA-13-0762-01A	5.912788092	4.64385619	4.542764218	2.582157827	4.592541565	7.925542849	5.481025485	5.867063374	7.74911844	12.65417887
TCGA-13-0765-01A	7.098853123	6.303780748	3.882196933	1.947414492	4.347433198	9.546330577	7.031924632	7.872789557	7.327424263	10.69043698
TCGA-13-0766-01A	3.735244697	4.584962501	3.019547993	1.113361324	4.592663995	7.438939601	2.695651887	4.129266952	5.921083617	10.20029203
TCGA-13-0768-01A	8.61709436	9.906890596	6.878045014	4.870466771	7.232780847	10.38329947	6.363441041	7.024065346	9.456671781	14.86217243
TCGA-13-0795-01A	6.919212252	7.417852515	4.706231468	2.591520928	4.504568126	9.615435088	4.307214499	5.735093823	7.489776471	11.81276226
TCGA-13-0797-01A	7.070742334	6.584962501	5.367854642	3.086031289	6.364245979	8.656834318	4.250210492	5.979114726	7.499966098	11.54791982
TCGA-13-0800-01A	4.599916866	3.321928095	2.97969769	1.061481637	4.979806334	6.558906567	2.804763799	5.902092134	7.739589473	11.06057008
TCGA-13-0804-01A	5.656149693	5.321928095	4.338382156	2.954525953	4.506493014	8.898294859	5.115031903	5.850465132	7.104443814	10.11237329
TCGA-13-0883-01A	6.406854748	6.228818691	4.603080523	1.799039678	5.00469889	9.595500193	6.226047716	7.426769857	8.732745022	14.90079604
TCGA-13-0884-01B	7.079147914	7.312882955	5.823079128	4.998606106	5.541897937	7.728172146	4.791897981	5.426021981	6.930434724	13.06265676
TCGA-13-0885-01A	7.512209234	7.693486958	5.145015308	3.121706566	5.514620534	9.605895444	6.861043026	5.107642574	6.913102208	11.92407057
TCGA-13-0886-01A	7.111455807	6.569855608	5.356806714	4.022512926	6.723183099	9.965302881	6.373209296	6.194806452	8.65621544	14.07922482
TCGA-13-0887-01A	5.750637495	3.584962501	3.788147989	2.206465554	5.368224708	8.263512895	4.146448721	6.339719314	7.934659691	12.94111768
TCGA-13-0888-01A	3.578703991	1	2.19780698	0.74715999	4.500890185	5.553457215	1.894387036	3.912336402	7.167987931	11.6071049
TCGA-13-0891-01A	4.900358296	3.807354922	4.010877455	2.364633625	2.941003339	6.706038945	3.251629167	5.764139091	6.711982475	10.79044825
