	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-DJ-A2PS-01A	7.133553729	7.948367232	5.833762301	2.681246345	8.269998321	9.228703513	8.527428845	7.414962129	10.01693114	11.4318355
TCGA-DJ-A2PT-01A	7.028607158	7.523561956	5.083498352	2.420277227	5.150997924	10.15527716	10.02746204	7.390929965	9.030337503	13.37225936
TCGA-DJ-A2PU-01A	6.861802897	7.426264755	5.214722867	2.878674385	5.583280202	9.777362884	7.416650564	7.52207636	10.8147199	12.27578508
TCGA-DJ-A2PV-01A	6.39400394	5.977279924	5.115817288	2.779038562	5.638595732	9.928374112	6.796632723	8.333820237	11.04047687	13.34257817
TCGA-DJ-A2PW-01A	6.289153244	6.303780748	4.4087773	2.563826207	7.180027698	9.313590074	7.205568348	7.085685936	9.223207533	11.71428495
TCGA-DJ-A2PX-01A	8.58784437	8.84862294	7.288699792	4.845264306	10.53753319	10.64372447	7.82113745	7.55825493	10.70983897	12.22399294
TCGA-DJ-A2PY-01A	5.939217514	6.228818691	4.203036055	1.644352264	4.828944653	9.129419907	8.267256655	6.781255788	8.826993565	12.86205001
TCGA-DJ-A2PZ-01A	6.045000322	4.392317423	4.145146783	2.593655117	6.581714685	9.126920629	8.55643612	7.338137286	9.294110319	11.97797426
TCGA-DJ-A2Q0-01A	4.216800392	3.321928095	4.08671115	2.524325372	3.277093824	8.36434873	5.093936552	6.967105669	10.83585378	10.9550987
TCGA-DJ-A2Q1-01A	7.352403063	6.741466986	4.492358478	2.4270832	9.052416333	9.867561705	10.70262323	7.330528375	9.074719748	12.36465101
TCGA-DJ-A2Q2-01A	7.08298358	7.022367813	5.649479435	3.17312655	6.915853962	9.994167259	6.68074174	7.508761893	11.24804183	12.02779008
TCGA-DJ-A2Q3-01A	8.167106878	7.930737338	6.628245504	4.161636239	10.50897307	10.71125438	9.313620209	8.189539057	10.2897275	13.02628325
TCGA-DJ-A2Q4-01A	6.981066524	7.672425342	5.664769366	3.28578362	7.248100854	9.726986307	7.495789763	7.956987063	10.30198697	11.64007679
TCGA-DJ-A2Q5-01A	8.842976854	8.233619677	6.992733179	4.99024049	11.61256182	10.52848757	8.003236005	7.931758992	10.06033956	12.17131408
TCGA-DJ-A2Q6-01A	7.450356806	6.832890014	5.64077185	3.491187644	7.75848135	9.798508365	9.244361142	7.938504832	11.04109818	13.65165518
