"","relapse_kz_s1","relapse_kz_s2","relapse_kz_s3","relapse_kz_s45"
"ACTL8",1,0.184067191124944,3.15757631618838e-06,0.0333264151811156
"ACTL9",0.240642007656888,1,0.000174942738254148,0.463396968250349
"ACTN1",0.173572573867641,0.405840060392653,0.188779481016719,0.321121950695879
"ACTN2",9.81125604444009e-06,0.0123168419215242,0.00163885933846412,0.00148021583156928
"ACTN3",0.898011055949022,0.288656881276922,0.246088828177734,0.663739699991132
"ACTN4",0.506703294998578,0.623923783856918,0.133489190284337,0.763448249143125
"ACTR10",0.345139206768625,0.484401361042985,0.830315229479821,0.325364943980654
"ACTR1A",0.750775121280585,0.529072556611985,0.000267147199877831,0.660771861921524
"ACTR1B",1,0.753547224274987,0.112511338641538,0.00250161972696598
"ACTR2",0.832152113183656,1,0.0157473218284114,0.00707008311500079
"ACTR3",1,0.821546105281967,0.0943211406185279,0.0118458165145907
"ACTR3B",0.927005632898529,0.772270160602567,0.116949086072381,0.784265342937769
"ACTR3C",0.785178996930192,0.923514415878797,0.0747126728866068,1
"ACTR5",0.478986673233079,0.30065288145638,0.336701067138091,0.701490143159038
"ACTR6",0.735542083210738,0.0673342452865593,0.00117703143355539,1
"ACTR8",0.283142890594626,0.204697576179893,0.0127428155387367,0.393524600454224
"ACTRT1",1,0.274400058846834,0.000982618668321084,0.315862767289896
"ACTRT2",0.0251347033950052,0.138209077158774,1.6307345738327e-06,0.0616999553658469
"ACTRT3",0.151047992530824,0.473725626872038,5.94819174456506e-09,0.532086579164751
"ACVR1",1,0.13835162966559,0.00182401465689477,0.0140196458929235
"ACVR1B",0.391588429320696,0.118443783603277,0.00103934429669145,0.87369120662702
"ACVR1C",1,0.170215874685055,0.00135844938659699,0.0140196458929235
"ACVR2A",0.9063561914925,0.194025351971685,0.00381292182524491,0.0304644673750238
"ACVR2B",0.142571863448734,0.199698906026997,0.175601612332475,0.322068426295766
"ACVRL1",0.520497747252621,0.118725032304424,0.000771871660669353,0.746941042569991
"ACY1",0.283596856710954,0.641579885988796,0.034274007199852,0.534236014500393
"ACY3",1,0.838788348477815,0.0849596174094972,0.19442815975358
"ACYP1",0.27666398740964,0.401707255336819,0.0916203890655753,0.192598200401943
"ACYP2",0.602978659492599,1,0.049506963080832,0.00663051636413002
"ADA",0.658924577122396,0.489439979575292,0.0420035334648266,1
"ADAD1",0.0514155906057145,1,0.238355765648187,0.208403035456613
"ADAD2",0.0366708886460669,0.89835763594544,0.811017172823432,0.476657129739878
"ADAL",0.104631365803201,0.76174666794319,0.595429100763261,0.0991423116155024
"ADAM10",0.369803947292727,0.781084369204061,0.90522690325486,0.0678647987075684
"ADAM11",0.302284192735981,0.534466530840939,0.556634178403173,0.496526323337122
"ADAM12",0.655784674939607,0.377511271157344,0.000169545755027675,0.844678468718449
"ADAM15",9.34440164486438e-07,0.201278734357644,2.85411933126866e-05,0.000511024619755341
"ADAM17",0.460791810531608,0.920795542377806,4.85208840662099e-05,0.00443093796063798
"ADAM18",0.326243266254626,0.687581803472876,0.118087569372357,0.214214094537439
"ADAM19",0.904032141275196,0.47637981628198,0.000160541099866624,1
"ADAM1A",0.82040310708549,0.16275711832776,6.30259086261897e-05,1
"ADAM2",0.377544080467731,0.616605386348733,0.0714546940803735,0.158075328008486
"ADAM20",0.339284262764547,0.632336831915074,0.221718988163391,0.235746745652614
"ADAM20P1",0.339284262764547,0.474008794659009,0.221556562381415,0.233736960558848
"ADAM21",0.339284262764547,0.473589280872948,0.221718988163391,0.238679258019071
"ADAM21P1",0.337876942258156,0.632661549248539,0.264151182102938,0.233994172066557
"ADAM22",0.322531907982415,0.720539592835544,0.0651469352793641,0.796887330751606
"ADAM23",0.632831451256433,0.023905771608201,0.00441379274803307,0.206498184877184
"ADAM28",0.088532443380823,0.694676297992004,0.37768630281861,0.35125059220407
"ADAM29",0.166785261655552,0.422018230243547,0.262818530816202,0.28076335575722
"ADAM30",0.185617955025732,0.444286969938433,4.3074195674155e-05,0.320831455741079
"ADAM32",0.513358984277861,0.309135008828067,0.113549588707456,0.161645533103841
"ADAM33",0.712578119161909,1,0.00761338006097041,1
"ADAM3A",0.323386712951755,0.310426298737723,0.116732327511,0.272873239146847
"ADAM5",0.325022188182262,0.363120640490485,0.184619278816291,0.273246005314279
"ADAM6",0.429425719760947,0.640502255759689,0.0141955605545824,0.444344687137962
"ADAM7",0.0872696461378385,0.791970704139904,0.375202400929973,0.641854812539608
"ADAM8",0.661093842398636,0.130007884955006,0.000216147355317581,0.847629113827326
"ADAM9",0.511777424262811,0.357679560250589,0.134944817523905,0.278465087632814
"ADAMDEC1",0.0881348782667895,0.694923817085658,0.376548028109485,0.258119040297742
"ADAMTS1",0.692330973080168,0.899444338473756,0.0694241639828342,0.438847428836263
"ADAMTS10",0.304407111492752,1,7.30788360421891e-05,0.464764940557839
"ADAMTS12",0.139250878066951,0.597256806677624,0.00874678193130962,0.697901249044985
"ADAMTS13",0.642500104379494,0.904445685859965,0.0401077509987213,0.119712650604927
"ADAMTS14",0.775315748603772,0.0267329843487838,0.00376894202882612,1
"ADAMTS15",0.0923697775268642,0.414001052026279,0.0833665085932569,1
"ADAMTS16",0.461293933650053,0.0944923748666806,0.000274542483105429,0.518970022463465
"ADAMTS17",0.377689130568877,0.724376726209783,0.0152749517542629,0.597531397654806
"ADAMTS18",0.0136275805607599,1,0.815053876470538,0.58600982256238
"ADAMTS19",1,0.804056021157924,0.00164447435846011,0.329225525163829
"ADAMTS2",0.567990248083824,0.261768763041947,0.00311839376097582,1
"ADAMTS20",0.391214671893846,0.297243301522427,0.00737365377346176,0.528143142130124
"ADAMTS3",0.0723832867962501,0.430934907590751,0.00211690753178244,0.0687187215830156
"ADAMTS4",3.63436954901879e-07,0.14759995128127,0.000657551087413841,0.00140240255712946
"ADAMTS5",0.69248907622591,0.899641438104356,0.0677411017070571,0.439868059331757
"ADAMTS6",0.595492110685821,0.695224141439016,0.0318648283859314,0.333311310602178
"ADAMTS7",0.412382491984704,0.901692002020452,0.283960666404606,0.0895353400842073
"ADAMTS8",0.0930950560874385,0.413907839403959,0.100565413539881,0.702772306313319
"ADAMTS9",0.657950848701244,0.553571461804239,0.0370017584192962,0.299272402986399
"ADAMTSL1",0.266416345160283,0.597003238304729,0.00224224678101795,0.15937362843452
"ADAMTSL2",0.443161211039483,0.90451787118548,0.0310876683304983,0.118343507696611
"ADAMTSL3",0.501479408275313,1,0.227156201141805,0.263300769213377
"ADAMTSL4",9.08675564754287e-05,0.0745013077718193,7.40681222927165e-06,0.000749365944504681
"ADAMTSL5",0.0804678249882638,0.273530827204935,0.66890400269842,0.816664337733361
"ADAP1",0.656089900100484,0.787934448221426,0.651871613522329,1
"ADAP2",0.522423796287926,0.603795752432135,0.841254436893302,0.591258378916096
"ADAR",2.11162298160142e-06,0.233043033082422,9.1328475845893e-05,0.000895677835702539
"ADARB1",0.79144237057872,0.330558253251764,0.00407097336474551,0.706630333897248
"ADARB2",0.284795368488488,0.18799980032181,4.57711009356916e-06,0.63756476716621
"ADAT1",0.0044296890949921,0.899817892408649,0.909915618112625,0.285858478658842
"ADAT2",1,0.693101594956245,0.00508294144484924,0.0786235133607239
"ADAT3",0.339327373309494,0.273512062593051,0.66915537854055,0.816766756758391
"ADC",0.883874401564796,0.341080639301218,9.36739394428804e-10,0.204401134523888
"ADCK1",0.277004118944949,0.722593968491519,0.0632848204810407,0.193209942626777
"ADCK2",0.524579491001165,1,0.00390053303729889,1
"ADCK3",9.37214619113927e-06,0.0122480905005769,0.00405374736914399,0.00395000977155198
"ADCK4",0.20821665759337,0.419949632079541,0.609577250949098,1
"ADCK5",0.00272271769922795,0.389016666625914,2.02560969246729e-07,0.188741568823872
"ADCY1",0.65690429914978,0.722942683235177,0.833499700468451,1
"ADCY10",9.03612147434597e-07,0.050300887688279,0.00258230693294937,0.00456124349287405
"ADCY10P1",0.107107659785367,0.702005115794875,5.44270300951313e-05,0.365056258286611
"ADCY2",0.458044301449516,0.11118432328666,0.000192159159625564,0.794543439146384
"ADCY3",0.833521469291617,0.688185052828126,0.0111112939868024,0.00664471891120856
"ADCY4",1,0.740472426485854,0.557265650904425,0.261944936253519
"ADCY5",0.20231079431216,0.773447230805845,0.0116512923812075,0.512134411997071
"ADCY6",0.332006282521613,0.138876280993561,0.00375632804561949,0.746172060860204
"ADCY7",0.00492750001765594,0.712458415222242,0.606643847941369,0.399399837765436
"ADCY8",0.00282439841149566,0.341362886081758,9.13808800034935e-07,0.360620394336461
"ADCY9",0.283487251044535,0.314368296027519,0.530324565607323,0.317376801386121
"ADCYAP1",0.062749195941407,0.500491978964503,0.342381650737995,0.201484822775854
"ADCYAP1R1",0.655994173048982,0.788639655009586,0.429372401482068,0.788763725022757
"ADD1",0.157982659613354,0.680183862779151,5.96545911499212e-08,0.278835059246896
"ADD2",0.914014165006536,1,0.142609975241852,0.00448197101808481
"ADD3",0.877282042213248,0.751312061701577,9.86907270111946e-05,1
"ADGB",1,0.593523808178046,0.0116298717713709,0.233341107535365
"ADH1A",0.32092538045556,0.529904673054582,1,1
"ADH1B",0.323851866073358,0.530087383044583,1,1
"ADH1C",0.323667668437765,0.529904673054582,1,1
"ADH4",0.318620753858201,0.344825854079094,0.740330209333629,1
"ADH5",0.32092538045556,0.633390683678068,0.737197963749698,1
