	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-05-4430-01A	0.004696306	0.015364719	0.31373205	0.172981223	0.080742756	0.000988517	3.84E-09	0.411494425
TCGA-05-4432-01A	0.01007336	0.019911274	0.292326709	0.310377543	0.102537745	0.000364881	1.32E-08	0.264408475
TCGA-05-4433-01A	0.000643212	0.005399816	0.198344232	0.014128412	0.04840665	0.000322107	3.72E-09	0.732755567
TCGA-05-4434-01A	0.005116984	0.009766291	0.202873364	0.104150672	0.079707997	0.000508961	2.20E-08	0.597875708
TCGA-05-5420-01A	0.007344603	0.012314946	0.057960911	0.19409896	0.070255468	0.000230781	2.85E-09	0.657794327
TCGA-05-5423-01A	0.004971629	0.017715019	0.085403938	0.045969584	0.094036963	0.000236588	1.68E-09	0.751666277
TCGA-05-5425-01A	0.019872703	0.013286205	0.281643178	0.540979417	0.144216535	6.35E-07	9.22E-09	1.32E-06
TCGA-05-5428-01A	0.004561736	0.036767948	0.162759671	0.036536107	0.030435997	0.000185411	4.92E-09	0.728753126
TCGA-05-5429-01A	0.007106201	0.013327012	0.139622207	0.04204469	0.053387276	0.000572377	3.82E-08	0.743940198
TCGA-05-5715-01A	1.10E-07	0.012389676	0.201882634	0.02310948	0.057252923	0.000165237	3.23E-07	0.705199617
TCGA-06-0125-01A	0.00059062	0.006500135	0.187243784	0.025709496	0.032256133	0.000363948	7.33E-09	0.747335875
TCGA-06-0125-02A	0.000185896	0.004289315	0.156105742	0.016655705	0.033982039	0.000307226	1.19E-09	0.788474075
TCGA-06-0129-01A	0.001734312	0.007352112	0.107973451	0.033651233	0.068881252	0.001074813	6.71E-09	0.779332821
TCGA-06-0130-01A	0.003376513	0.005128274	0.133121088	0.021969387	0.09476883	0.000360095	1.59E-09	0.741275811
TCGA-06-0132-01A	0.001408331	0.006261586	0.081843235	0.030173359	0.074050255	0.000259217	7.77E-10	0.806004016
TCGA-06-0138-01A	0.003328939	0.012185472	0.075118751	0.017446815	0.062988778	0.000136063	7.25E-09	0.828795174
TCGA-06-0139-01A	0.002293176	0.006307329	0.082419778	0.02095839	0.143645264	9.42E-05	7.10E-10	0.744281902
TCGA-06-0141-01A	0.001446279	0.005339062	0.077484545	0.013426439	0.054184103	7.92E-05	5.78E-10	0.848040411
TCGA-06-0152-02A	0.00194561	0.00661784	0.159064945	0.026509908	0.058709777	0.000333933	1.15E-09	0.746817987
TCGA-06-0156-01A	0.002485996	0.016051261	0.124354792	0.028178869	0.062182706	0.000448963	8.24E-09	0.766297404
TCGA-06-0157-01A	0.003078045	0.009251133	0.078738694	0.019917778	0.043138296	0.00037011	4.14E-09	0.845505941
TCGA-06-0158-01A	0.001327569	0.006988409	0.167262734	0.021516039	0.057002498	0.000259154	3.78E-08	0.745643561
TCGA-06-0168-01A	0.001134848	0.009696051	0.127454394	0.017598643	0.057237222	0.000140969	3.79E-09	0.786737869
TCGA-06-0171-02A	0.000788552	0.002535058	0.103349579	0.013218369	0.141537616	0.000252923	2.96E-10	0.738317903
TCGA-06-0174-01A	0.001347883	0.010158331	0.158395262	0.03173569	0.054262867	0.000385783	1.39E-08	0.74371417
